"long_bone","method","slope"
"Humerus","Stature",1.28077081673659
"Humerus","RMSB",1.29509106164325
"Humerus","FMSB",1.26659128450226
"Humerus","GM_Midshaft",1.26505085182427
"Humerus","GM_Length",0.945110495559198
"Radius","Stature",1.20300557498712
"Radius","RMSB",1.21645632997996
"Radius","FMSB",1.18968698894058
"Radius","GM_Midshaft",1.18824008753145
"Radius","GM_Length",0.887725719761143
"Femur","Stature",1.49869926728039
"Femur","RMSB",1.51545616107312
"Femur","FMSB",1.48210702900304
"Femur","GM_Midshaft",1.4803044853351
"Femur","GM_Length",1.10592495447597
"Tibia","Stature",1.44446148435753
"Tibia","RMSB",1.46061194776905
"Tibia","FMSB",1.42846971759408
"Tibia","GM_Midshaft",1.42673240780881
"Tibia","GM_Length",1.06590163630976
