"long_bone","method","slope"
"Humerus","Stature",1.32432107660931
"Humerus","RMSB",0.94797646389312
"Humerus","FMSB",1.15755145630686
"Humerus","GM_Midshaft",1.18138193217464
"Humerus","GM_Length",0.989735827430445
"Radius","Stature",1.23653492277547
"Radius","RMSB",0.88513731622717
"Radius","FMSB",1.08082007144201
"Radius","GM_Midshaft",1.1030708806735
"Radius","GM_Length",0.924128549002069
"Femur","Stature",1.40776258150413
"Femur","RMSB",1.00770562183618
"Femur","FMSB",1.23048530687634
"Femur","GM_Midshaft",1.25581726965986
"Femur","GM_Length",1.05209611780698
"Tibia","Stature",1.42215403125051
"Tibia","RMSB",1.01800731972639
"Tibia","FMSB",1.2430644645342
"Tibia","GM_Midshaft",1.26865539404561
"Tibia","GM_Length",1.06285161635958
